backbone,epoch,train_loss,train_acc,val_acc,val_f1,val_auc,fold
convnext_tiny,22,0.073,96.19,98.65,0.9861,,1
convnext_tiny,1,0.2311,83.85,65.66,0.6383,,2
convnext_tiny,2,0.1698,89.01,96.78,0.9675,,2
convnext_tiny,3,0.1547,90.55,97.71,0.9772,,2
convnext_tiny,4,0.1391,91.34,97.39,0.974,,2
convnext_tiny,5,0.1323,91.53,97.75,0.9775,,2
convnext_tiny,6,0.1198,92.66,97.79,0.9781,,2
convnext_tiny,7,0.115,93.2,97.91,0.9792,,2
convnext_tiny,8,0.1118,93.15,98.23,0.9824,,2
convnext_tiny,9,0.1057,93.85,98.31,0.9833,,2
convnext_tiny,10,0.103,94.18,98.59,0.986,,2
convnext_tiny,11,0.0941,94.43,98.59,0.9861,,2
convnext_tiny,12,0.0921,94.9,98.47,0.9848,,2
convnext_tiny,13,0.0889,95.04,98.43,0.9845,,2
convnext_tiny,14,0.0897,94.73,98.55,0.9857,,2
convnext_tiny,15,0.0824,95.44,98.51,0.9852,,2
convnext_tiny,16,0.0845,95.34,98.59,0.986,,2
convnext_tiny,17,0.0831,95.59,98.63,0.9865,,2
convnext_tiny,18,0.0778,95.69,98.67,0.9869,,2
convnext_tiny,19,0.0795,95.85,98.83,0.9885,,2
convnext_tiny,20,0.0738,96.37,98.79,0.9881,,2
convnext_tiny,21,0.0716,96.6,98.75,0.9877,,2
convnext_tiny,22,0.0734,96.21,98.87,0.9889,,2
convnext_tiny,23,0.0671,96.76,98.67,0.9869,,2
convnext_tiny,24,0.0704,96.7,98.67,0.9869,,2
convnext_tiny,25,0.0705,96.6,98.99,0.9901,,2
convnext_tiny,26,0.0663,96.69,98.99,0.9901,,2
convnext_tiny,27,0.0646,96.93,98.87,0.9889,,2
convnext_tiny,28,0.0645,97.14,99.08,0.991,,2
convnext_tiny,29,0.0635,97.04,98.91,0.9893,,2
convnext_tiny,30,0.0637,97.05,98.87,0.9889,,2
convnext_tiny,31,0.0587,97.69,99.03,0.9905,0.9978,2
convnext_tiny,32,0.0617,97.38,99.12,0.9913,,2
convnext_tiny,33,0.0611,97.39,99.03,0.9905,,2
convnext_tiny,34,0.0609,97.58,98.99,0.99,,2
convnext_tiny,35,0.0584,97.55,98.95,0.9897,0.9975,2
convnext_tiny,36,0.0586,97.82,98.91,0.9893,0.9977,2
convnext_tiny,37,0.0586,97.75,98.95,0.9897,,2
convnext_tiny,38,0.0578,98.09,98.91,0.9893,0.9986,2
convnext_tiny,39,0.0583,97.8,98.99,0.9901,,2
convnext_tiny,1,0.2398,83.41,31.37,0.2464,,3
convnext_tiny,2,0.1729,88.5,94.15,0.9425,,3
convnext_tiny,3,0.1554,90.14,96.66,0.9674,,3
convnext_tiny,4,0.1374,91.13,97.25,0.9732,,3
convnext_tiny,5,0.1317,92.15,97.33,0.974,,3
