path,class,method,iou_fixed_top20pct,iou_adaptive_otsu,pointing_game_hit,border_bias_fraction,predicted_correctly
cashew_leaf_dataset_raw/anthracnose/anthracnose1201__jpg.rf.2a0c7736da17cefec8671098c47dbd2a.jpg,anthracnose,gradcam++,0.298030931122449,0.0,0,,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1201__jpg.rf.2a0c7736da17cefec8671098c47dbd2a.jpg,anthracnose,scorecam,0.05791456754582786,0.0008202258033388015,0,0.7384033203125,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1201__jpg.rf.2a0c7736da17cefec8671098c47dbd2a.jpg,anthracnose,eigencam,0.16076737272389446,0.21790224731962304,0,0.09875214099884033,True
cashew_leaf_dataset_raw/anthracnose/anthracnose43__jpg.rf.c32d6534057318db2d3108d414977e58.jpg,anthracnose,gradcam++,0.08539939413265306,0.03100303951367781,0,0.46408599615097046,True
cashew_leaf_dataset_raw/anthracnose/anthracnose43__jpg.rf.c32d6534057318db2d3108d414977e58.jpg,anthracnose,scorecam,0.08539939413265306,0.079031465093412,0,0.594358503818512,True
cashew_leaf_dataset_raw/anthracnose/anthracnose43__jpg.rf.c32d6534057318db2d3108d414977e58.jpg,anthracnose,eigencam,0.038734948498476716,0.047267427738644646,0,0.01122016366571188,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1280__jpg.rf.cee121979f114771a820fa215369d45c.jpg,anthracnose,gradcam++,0.13779496173469388,0.0,0,,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1280__jpg.rf.cee121979f114771a820fa215369d45c.jpg,anthracnose,scorecam,0.0,0.0,0,0.4349164664745331,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1280__jpg.rf.cee121979f114771a820fa215369d45c.jpg,anthracnose,eigencam,0.0,0.0,0,0.5028847455978394,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1072__jpg.rf.81f16c9599fd72432521036af2dd9a9e.jpg,anthracnose,gradcam++,0.11490722968650031,0.11734199097693637,0,0.47907501459121704,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1072__jpg.rf.81f16c9599fd72432521036af2dd9a9e.jpg,anthracnose,scorecam,0.14461471103327495,0.19184984568873212,0,0.333794504404068,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1072__jpg.rf.81f16c9599fd72432521036af2dd9a9e.jpg,anthracnose,eigencam,0.3583571614244866,0.382643193652368,1,0.04480888694524765,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1285__jpg.rf.8ba03f2aaaca62e2762f1e2a6bce4dd9.jpg,anthracnose,gradcam++,0.22247688137755103,0.0,0,,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1285__jpg.rf.8ba03f2aaaca62e2762f1e2a6bce4dd9.jpg,anthracnose,scorecam,0.35945616622843585,0.33808687265337056,1,0.18225789070129395,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1285__jpg.rf.8ba03f2aaaca62e2762f1e2a6bce4dd9.jpg,anthracnose,eigencam,0.3277795176949577,0.3984305923961096,0,0.02153969183564186,True
cashew_leaf_dataset_raw/anthracnose/anthracnose344__jpg.rf.38a070bbbbc7de85a80e8c5feb8fb451.jpg,anthracnose,gradcam++,0.1032069970845481,0.061560183551006,0,0.5412939786911011,True
cashew_leaf_dataset_raw/anthracnose/anthracnose344__jpg.rf.38a070bbbbc7de85a80e8c5feb8fb451.jpg,anthracnose,scorecam,0.10359309379374708,0.10655966114919467,0,0.2360871136188507,True
cashew_leaf_dataset_raw/anthracnose/anthracnose344__jpg.rf.38a070bbbbc7de85a80e8c5feb8fb451.jpg,anthracnose,eigencam,0.028484453141987387,0.03103864734299517,0,0.05042724683880806,True
cashew_leaf_dataset_raw/anthracnose/anthracnose800__jpg.rf.f036232c7d5a9711d4d5fcbf27ebd2f6.jpg,anthracnose,gradcam++,0.11631058673469388,0.0,0,0.8910484313964844,True
cashew_leaf_dataset_raw/anthracnose/anthracnose800__jpg.rf.f036232c7d5a9711d4d5fcbf27ebd2f6.jpg,anthracnose,scorecam,0.013916374082349187,0.08024981047615609,0,0.3676791787147522,True
cashew_leaf_dataset_raw/anthracnose/anthracnose800__jpg.rf.f036232c7d5a9711d4d5fcbf27ebd2f6.jpg,anthracnose,eigencam,0.2595207870517296,0.2807324980285639,0,0.07973235845565796,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1480__jpg.rf.38b9023954804e3889f16a9d7434e0fa.jpg,anthracnose,gradcam++,0.0,0.0,0,0.03296419233083725,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1480__jpg.rf.38b9023954804e3889f16a9d7434e0fa.jpg,anthracnose,scorecam,0.0,0.0,0,0.23790043592453003,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1480__jpg.rf.38b9023954804e3889f16a9d7434e0fa.jpg,anthracnose,eigencam,0.09749784296807593,0.09479185438817805,0,0.20485496520996094,True
cashew_leaf_dataset_raw/anthracnose/anthracnose912__jpg.rf.a0affd93fe1ba349c53219144504a5fb.jpg,anthracnose,gradcam++,0.14201270873355992,0.09377170641352164,0,0.7422845363616943,True
cashew_leaf_dataset_raw/anthracnose/anthracnose912__jpg.rf.a0affd93fe1ba349c53219144504a5fb.jpg,anthracnose,scorecam,0.019525065963060684,0.16650530026563393,0,0.42314696311950684,True
cashew_leaf_dataset_raw/anthracnose/anthracnose912__jpg.rf.a0affd93fe1ba349c53219144504a5fb.jpg,anthracnose,eigencam,0.2710526315789474,0.33358205242998556,1,0.06038721650838852,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1541__jpg.rf.785e2da63274b81f944791c5b420d585.jpg,anthracnose,gradcam++,0.0,0.0,0,0.7990366220474243,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1541__jpg.rf.785e2da63274b81f944791c5b420d585.jpg,anthracnose,scorecam,0.011540900443880786,0.05674427086499301,0,0.28556331992149353,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1541__jpg.rf.785e2da63274b81f944791c5b420d585.jpg,anthracnose,eigencam,0.1398356555912826,0.1336733261591728,1,0.016034124419093132,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1442__jpg.rf.e4faa727d8ef1c93f317002b15597b78.jpg,anthracnose,gradcam++,0.07451769770408163,0.0,0,,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1442__jpg.rf.e4faa727d8ef1c93f317002b15597b78.jpg,anthracnose,scorecam,0.07451769770408163,0.0,0,0.7542274594306946,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1442__jpg.rf.e4faa727d8ef1c93f317002b15597b78.jpg,anthracnose,eigencam,0.2568665024181038,0.19635326221781196,0,0.032237906008958817,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1110__jpg.rf.5e1529a56e703ee7993a0ea2a0521a3f.jpg,anthracnose,gradcam++,0.11925453524105344,0.06334169877346152,1,0.41498297452926636,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1110__jpg.rf.5e1529a56e703ee7993a0ea2a0521a3f.jpg,anthracnose,scorecam,0.18136160714285715,0.2972002871500359,1,0.3010777235031128,True
cashew_leaf_dataset_raw/anthracnose/anthracnose1110__jpg.rf.5e1529a56e703ee7993a0ea2a0521a3f.jpg,anthracnose,eigencam,0.26539151225343693,0.4521356441048035,1,0.031615130603313446,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner589__jpg.rf.9661b722527809ff793799a01c07be83.jpg,leaf_miner,gradcam++,0.1144731088762571,0.1261169780666125,1,0.3828173279762268,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner589__jpg.rf.9661b722527809ff793799a01c07be83.jpg,leaf_miner,scorecam,0.0345835362883585,0.04030638804194244,0,0.31794315576553345,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner589__jpg.rf.9661b722527809ff793799a01c07be83.jpg,leaf_miner,eigencam,0.2697401174947725,0.3016367887763055,1,0.07974708825349808,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner1154__jpg.rf.f4bd802d1159e3615a6f875f5d93bef6.jpg,leaf_miner,gradcam++,0.01547678482276585,0.012490096472013795,0,0.4455564320087433,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner1154__jpg.rf.f4bd802d1159e3615a6f875f5d93bef6.jpg,leaf_miner,scorecam,0.0,0.004226752859273993,0,0.4447258710861206,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner1154__jpg.rf.f4bd802d1159e3615a6f875f5d93bef6.jpg,leaf_miner,eigencam,0.0,0.004858996832426116,0,0.4552220404148102,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner842__jpg.rf.caa43f5e7a9ff468bcb0c2dcc3bfce6f.jpg,leaf_miner,gradcam++,0.0,0.0,0,0.4331311583518982,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner842__jpg.rf.caa43f5e7a9ff468bcb0c2dcc3bfce6f.jpg,leaf_miner,scorecam,0.0,0.0,0,0.4009757339954376,True
